pet_id,species,size_class,age,weight,heart_rate,temperature,spo2,activity_index,steps,activity_ratio_3day,hr_deviation_pct,temp_deviation_c,label,label_name
399,dog,large,1.6,42.85,172.6,38.77,96.7,1.032,12,0.52,188.65,-0.73,2,stressed
101,cat,n/a,0.8,8.78,232.6,39.4,96.0,1.052,10,0.438,35.19,-0.6,2,stressed
374,cat,n/a,0.99,4.94,166.8,38.69,96.8,1.055,34,0.978,-5.68,-1.31,0,resting
392,dog,medium,0.42,22.07,100.2,38.8,97.0,1.006,40,0.892,-2.28,-0.7,0,resting
345,cat,n/a,3.23,5.81,188.0,38.34,97.1,1.073,10,0.668,2.59,-1.66,0,resting
335,cat,n/a,6.08,3.57,170.5,38.74,98.9,0.954,26,0.995,-2.32,-1.26,0,resting
24,cat,n/a,5.24,4.13,220.7,39.25,97.3,1.472,621,1.899,38.51,-0.75,1,active
443,dog,small,10.97,8.37,109.8,38.93,95.5,1.865,474,1.723,8.21,-0.27,1,active
246,dog,toy,1.34,1.73,131.0,38.58,97.2,1.076,46,0.933,-0.03,-0.92,0,resting
281,dog,small,0.88,10.43,142.8,38.66,97.1,1.433,592,1.338,10.52,-0.84,1,active
394,cat,n/a,1.9,3.77,247.4,38.85,96.3,1.056,6,0.354,58.15,-1.15,2,stressed
429,cat,n/a,4.51,2.53,213.0,39.47,96.4,1.425,502,1.541,14.44,-0.53,1,active
188,cat,n/a,8.18,2.82,149.0,38.86,97.4,1.045,2,1.375,-0.3,-1.14,0,resting
262,dog,medium,0.26,21.51,146.0,38.83,97.3,1.935,806,1.687,55.6,-0.67,1,active
426,dog,large,0.45,44.14,193.4,38.65,95.9,1.008,16,0.664,126.28,-0.85,3,anomaly
448,dog,giant,4.34,69.07,142.3,38.6,96.9,1.003,7,0.386,141.61,-0.9,2,stressed
177,dog,small,0.37,7.34,149.3,38.5,96.8,1.409,416,0.911,22.26,-1.0,1,active
368,dog,small,1.49,6.11,95.6,38.57,97.2,1.025,6,1.246,-7.31,-0.93,0,resting
112,dog,small,3.88,6.17,112.8,38.34,98.4,1.04,20,0.917,10.86,-1.16,0,resting
75,dog,giant,5.07,76.68,81.6,38.57,97.0,1.199,569,1.155,25.84,-0.93,1,active
303,cat,n/a,1.9,3.98,247.3,39.02,94.9,1.096,15,0.517,49.87,-0.98,2,stressed
462,dog,small,3.1,8.69,105.1,38.41,97.7,1.009,18,0.748,-3.12,-1.09,0,resting
137,dog,large,2.62,45.23,93.9,38.62,97.5,1.017,0,0.882,5.99,-0.88,0,resting
35,dog,medium,2.3,11.83,91.8,38.35,98.4,1.086,29,0.796,1.83,-1.15,0,resting
155,cat,n/a,2.55,8.84,233.3,39.03,98.1,1.095,6,0.287,36.37,-0.97,2,stressed
268,dog,small,2.14,11.54,89.8,38.49,97.1,1.017,32,0.999,-1.13,-1.01,0,resting
403,cat,n/a,17.03,4.4,221.7,38.88,96.7,2.019,803,1.916,13.37,-0.82,1,active
440,dog,medium,2.89,15.21,169.8,38.28,95.5,0.981,17,1.036,84.23,-1.22,3,anomaly
364,dog,medium,4.17,23.22,125.6,38.65,97.2,1.361,766,1.562,39.97,-0.85,1,active
24,cat,n/a,5.24,4.13,160.3,38.59,99.3,1.043,29,0.979,0.63,-1.41,0,resting
69,cat,n/a,4.89,9.01,210.4,39.03,98.0,1.506,301,1.686,27.32,-0.97,1,active
192,cat,n/a,2.58,5.61,163.9,38.79,96.0,0.98,26,0.968,3.72,-1.21,0,resting
287,dog,toy,0.55,3.42,174.2,38.36,88.2,1.007,7,0.487,28.02,-1.14,3,anomaly
215,cat,n/a,0.63,5.07,219.9,39.25,95.9,1.387,784,2.182,21.62,-0.75,1,active
291,cat,n/a,0.77,6.94,175.4,38.66,97.5,0.967,22,1.309,1.99,-1.34,0,resting
470,dog,giant,2.66,72.13,155.9,38.67,94.0,1.066,5,0.74,144.6,-0.83,2,stressed
314,cat,n/a,1.66,5.18,208.6,39.18,97.3,1.697,565,1.33,6.04,-0.82,1,active
318,dog,giant,0.43,59.53,80.6,38.4,98.4,1.013,3,0.847,4.36,-1.1,0,resting
159,cat,n/a,0.24,6.13,207.1,38.74,97.9,1.033,21,1.172,1.06,-1.26,0,resting
120,cat,n/a,3.06,1.5,214.0,38.96,94.2,1.734,735,1.484,26.06,-1.04,1,active
154,cat,n/a,5.78,4.77,198.1,38.93,96.1,1.177,650,1.741,29.0,-1.07,1,active
266,dog,large,0.5,19.75,123.9,38.9,98.5,1.607,176,1.751,30.53,-0.6,1,active
189,cat,n/a,3.77,3.34,166.9,38.86,98.5,1.033,33,0.789,-0.69,-1.14,0,resting
409,dog,toy,1.37,3.21,182.9,38.62,95.4,1.028,24,0.317,36.38,-0.88,2,stressed
438,dog,giant,0.86,57.39,86.3,38.48,97.9,1.034,6,1.079,3.28,-1.02,0,resting
33,cat,n/a,2.39,4.84,205.2,38.6,97.4,1.023,18,0.786,9.84,-1.4,0,resting
328,dog,medium,1.33,30.84,150.0,40.29,95.1,1.105,0,0.52,71.04,0.79,3,anomaly
316,dog,giant,10.59,69.96,55.5,38.48,97.5,0.986,24,0.627,-7.27,-0.72,0,resting
386,dog,toy,2.87,3.86,138.5,38.74,98.0,1.541,839,1.488,-3.67,-0.76,1,active
350,dog,small,2.01,9.36,128.6,39.02,95.4,1.146,677,1.659,29.92,-0.48,1,active
465,dog,toy,10.81,3.2,135.5,38.75,97.8,1.801,359,1.65,27.99,-0.45,1,active
52,dog,giant,0.28,56.31,78.4,38.62,97.3,1.024,42,1.111,17.63,-0.88,0,resting
382,dog,giant,3.98,63.3,61.9,38.57,97.3,1.032,22,1.022,4.39,-0.93,0,resting
107,dog,giant,10.43,68.2,148.4,38.97,96.9,1.065,7,0.534,113.32,-0.23,2,stressed
112,dog,small,3.88,6.17,152.8,38.91,97.3,1.368,569,1.707,50.09,-0.59,1,active
275,cat,n/a,10.16,4.27,166.2,39.17,98.1,0.982,21,0.743,1.0,-0.53,0,resting
119,dog,medium,3.02,15.68,160.7,38.5,95.9,1.046,10,0.581,97.92,-1.0,3,anomaly
67,cat,n/a,0.68,8.72,208.8,38.6,98.0,1.057,0,1.064,5.87,-1.4,0,resting
304,dog,medium,0.97,18.61,147.6,38.59,97.1,1.94,758,1.797,37.44,-0.91,1,active
415,dog,giant,0.19,57.69,164.2,38.59,97.5,0.988,6,0.335,113.1,-0.91,2,stressed
273,cat,n/a,0.38,2.35,210.8,38.93,96.5,1.671,662,1.206,4.16,-1.07,1,active
63,cat,n/a,0.44,5.33,236.2,39.04,96.6,1.059,22,0.232,23.67,-0.96,2,stressed
315,dog,small,6.66,10.99,146.5,38.52,95.1,2.132,675,1.476,31.41,-0.98,1,active
246,dog,toy,1.34,1.73,121.1,38.27,98.9,1.931,620,1.625,-7.61,-1.23,1,active
110,dog,toy,5.03,1.59,183.2,38.61,96.7,0.968,31,0.579,37.99,-0.89,3,anomaly
491,dog,toy,0.15,2.18,133.2,38.63,98.6,1.047,30,0.965,4.39,-0.87,0,resting
308,cat,n/a,3.62,3.39,241.2,39.3,96.7,1.031,19,0.317,52.45,-0.7,2,stressed
310,cat,n/a,0.5,5.89,241.5,39.29,96.6,1.006,23,0.465,30.96,-0.71,2,stressed
240,dog,giant,12.91,61.95,91.8,38.84,96.0,1.738,793,0.999,50.62,-0.36,1,active
267,dog,large,3.98,33.16,118.5,38.72,97.3,1.73,606,2.337,42.54,-0.78,1,active
189,cat,n/a,3.77,3.34,217.5,39.31,96.8,0.994,463,1.817,29.41,-0.69,1,active
89,cat,n/a,1.79,1.5,228.8,39.03,94.7,0.986,44,0.516,47.84,-0.97,3,anomaly
215,cat,n/a,0.63,5.07,209.2,39.21,97.5,1.305,845,1.551,15.7,-0.79,1,active
88,dog,giant,7.12,52.0,141.0,38.66,93.6,1.075,26,0.366,140.86,-0.84,2,stressed
124,cat,n/a,1.82,3.57,163.8,38.71,97.4,1.055,0,1.007,-3.55,-1.29,0,resting
185,dog,small,4.02,6.39,162.8,38.65,96.0,1.031,20,0.481,48.12,-0.85,2,stressed
233,cat,n/a,4.37,4.84,159.9,38.86,98.7,1.044,12,0.817,0.4,-1.14,0,resting
57,cat,n/a,18.0,5.0,218.0,38.95,97.8,1.049,22,0.341,23.17,-0.75,2,stressed
191,cat,n/a,5.8,2.31,160.5,38.8,96.7,1.092,16,1.044,-1.2,-1.2,0,resting
145,dog,toy,1.87,2.35,137.5,38.66,97.5,0.951,26,0.986,9.27,-0.84,0,resting
300,cat,n/a,6.03,3.69,217.7,39.33,97.6,1.649,810,1.904,38.36,-0.67,1,active
388,dog,small,8.16,6.41,134.9,38.85,96.8,1.871,374,1.731,40.26,-0.65,1,active
243,dog,medium,0.22,33.55,145.2,38.85,94.5,1.019,20,0.239,55.45,-0.65,2,stressed
300,cat,n/a,6.03,3.69,151.4,38.73,98.2,1.046,16,0.776,-3.74,-1.27,0,resting
130,dog,medium,2.33,25.96,98.1,41.27,96.8,0.999,35,0.607,4.85,1.77,3,anomaly
288,dog,large,0.15,37.92,152.1,40.26,98.0,1.01,26,0.633,95.93,0.76,3,anomaly
309,cat,n/a,1.27,5.19,209.7,38.8,96.7,1.031,41,1.0,0.08,-1.2,0,resting
231,dog,small,0.15,1.66,151.5,39.11,95.9,1.079,8,0.359,40.11,-0.39,2,stressed
99,cat,n/a,8.01,4.81,198.1,39.22,98.4,2.021,469,1.819,13.93,-0.78,1,active
402,dog,toy,3.47,1.62,143.5,38.64,97.4,1.119,440,1.511,3.14,-0.86,1,active
430,dog,toy,1.36,1.94,147.4,38.62,97.0,1.906,672,1.512,17.32,-0.88,1,active
436,dog,toy,1.37,2.87,174.0,38.65,97.1,1.023,6,0.393,17.48,-0.85,2,stressed
341,cat,n/a,1.18,5.92,216.8,38.64,90.7,1.085,29,0.603,19.95,-1.36,3,anomaly
391,cat,n/a,1.68,6.28,228.2,39.01,95.2,0.991,17,0.169,39.89,-0.99,2,stressed
68,dog,small,3.94,11.67,123.6,38.6,97.9,1.08,34,1.376,7.48,-0.9,0,resting
82,dog,large,10.93,37.99,56.4,38.91,97.6,0.986,25,1.202,2.24,-0.29,0,resting
223,dog,medium,1.08,20.83,74.2,38.37,98.2,1.02,16,1.287,-0.28,-1.13,0,resting
435,dog,toy,2.68,2.61,143.7,38.62,97.0,1.837,436,1.349,7.89,-0.88,1,active
378,cat,n/a,3.81,4.51,173.1,38.77,97.2,1.072,33,0.953,1.05,-1.23,0,resting
431,dog,toy,0.15,3.74,195.1,38.54,96.1,1.03,37,0.513,28.04,-0.96,3,anomaly
167,dog,medium,10.95,24.14,104.7,38.76,96.9,1.636,505,1.96,36.51,-0.44,1,active
49,dog,small,0.74,7.41,171.7,38.73,95.2,1.113,27,0.519,13.03,-0.77,2,stressed
123,cat,n/a,4.6,1.5,171.4,38.75,95.4,0.991,25,1.324,0.97,-1.25,0,resting
52,dog,giant,0.28,56.31,166.9,38.42,95.2,1.051,12,0.139,150.49,-1.08,2,stressed
21,dog,large,0.43,41.93,97.6,38.35,97.2,1.001,46,0.76,0.45,-1.15,0,resting
476,dog,medium,7.58,15.1,146.3,39.07,97.6,0.9,646,1.871,63.78,-0.43,1,active
324,cat,n/a,5.26,3.54,223.0,38.89,96.3,1.025,20,0.378,31.49,-1.11,2,stressed
181,cat,n/a,1.8,2.94,240.6,38.67,98.5,1.031,12,0.716,50.79,-1.33,3,anomaly
142,dog,large,0.15,36.8,94.1,38.24,97.1,1.037,8,0.956,4.98,-1.26,0,resting
301,dog,medium,3.28,20.59,107.9,38.36,98.1,1.002,17,1.035,5.76,-1.14,0,resting
167,dog,medium,10.95,24.14,104.1,38.77,96.7,2.363,351,1.018,35.67,-0.43,1,active
160,dog,medium,5.18,17.71,130.8,39.09,96.4,1.366,688,1.688,53.97,-0.41,1,active
260,cat,n/a,1.56,5.94,237.9,38.94,99.6,0.996,21,0.177,36.45,-1.06,2,stressed
249,dog,toy,10.26,3.77,147.1,38.88,98.1,1.044,18,0.0,7.21,-0.32,2,stressed
476,dog,medium,7.58,15.1,116.3,38.52,96.3,1.968,729,1.656,30.17,-0.98,1,active
115,dog,medium,5.59,14.95,98.6,38.56,99.0,1.017,19,0.844,-1.08,-0.94,0,resting
221,dog,giant,0.7,68.95,87.2,38.66,96.2,1.056,21,1.022,5.77,-0.84,0,resting
116,dog,toy,18.0,4.12,128.7,38.74,96.5,1.681,311,1.262,1.48,-0.46,1,active
354,dog,small,12.49,10.5,82.7,38.55,96.2,1.052,14,0.917,-2.38,-0.65,0,resting
9,cat,n/a,5.22,3.27,188.3,38.58,98.3,1.004,20,1.113,-1.68,-1.42,0,resting
104,dog,large,5.83,39.34,69.0,38.59,94.7,0.955,37,1.0,9.05,-0.91,0,resting
133,cat,n/a,5.04,5.92,226.0,40.5,95.6,1.057,34,0.37,43.99,0.5,3,anomaly
54,cat,n/a,6.6,5.29,188.3,38.8,97.0,1.036,10,0.942,2.38,-1.2,0,resting
374,cat,n/a,0.99,4.94,242.1,39.0,95.8,1.065,19,0.478,36.91,-1.0,2,stressed
315,dog,small,6.66,10.99,112.9,38.72,98.2,1.02,51,0.866,1.28,-0.78,0,resting
26,dog,giant,0.87,64.73,109.8,41.34,94.5,0.975,36,0.626,29.71,1.84,3,anomaly
157,dog,large,0.74,25.01,150.0,38.98,96.2,0.964,24,0.243,46.23,-0.52,2,stressed
148,dog,giant,0.74,73.35,87.7,38.35,98.5,1.011,29,1.163,11.8,-1.15,0,resting
462,dog,small,3.1,8.69,157.6,40.13,96.5,1.039,27,0.624,45.3,0.63,3,anomaly
492,cat,n/a,4.3,7.48,211.3,38.74,89.8,1.015,50,0.475,16.61,-1.26,3,anomaly
334,cat,n/a,1.42,4.96,213.7,41.27,98.0,1.018,29,0.286,22.63,1.27,3,anomaly
201,dog,giant,2.89,56.88,48.9,38.55,96.1,1.059,2,0.984,-25.49,-0.95,0,resting
425,cat,n/a,4.1,4.7,152.4,38.72,96.6,1.009,16,1.239,-4.62,-1.28,0,resting
238,dog,small,4.23,6.19,109.5,38.03,95.7,1.035,0,1.008,3.13,-1.47,0,resting
477,cat,n/a,2.81,7.66,181.8,38.72,97.1,1.016,7,0.986,-0.74,-1.28,0,resting
333,dog,small,6.82,9.56,113.4,38.41,97.2,0.96,27,0.895,12.7,-1.09,0,resting
465,dog,toy,10.81,3.2,132.9,38.38,97.2,2.131,727,1.762,25.55,-0.82,1,active
71,cat,n/a,5.7,7.08,219.1,39.25,95.1,1.853,528,2.111,16.51,-0.75,1,active
319,dog,toy,2.3,4.29,127.5,38.44,98.6,1.012,12,0.916,-6.2,-1.06,0,resting
193,dog,large,6.9,26.8,90.9,38.79,98.1,0.9,408,2.193,15.41,-0.71,1,active
20,cat,n/a,6.97,3.11,219.3,39.06,97.2,1.809,328,1.326,29.35,-0.94,1,active
279,cat,n/a,1.0,1.5,233.5,39.2,95.0,1.097,21,0.531,22.41,-0.8,2,stressed
128,dog,giant,6.14,64.1,164.5,38.78,97.4,1.096,14,0.508,99.88,-0.72,2,stressed
212,dog,giant,3.66,74.17,78.2,38.63,96.4,1.21,558,1.959,6.35,-0.87,1,active
185,dog,small,4.02,6.39,117.3,38.4,97.8,1.032,0,1.006,6.75,-1.1,0,resting
411,dog,toy,0.15,3.77,134.1,38.5,98.2,1.062,24,0.767,-2.58,-1.0,0,resting
23,dog,giant,5.32,55.62,141.9,39.03,99.4,1.013,15,0.422,174.99,-0.47,2,stressed
299,dog,large,4.0,40.93,88.6,38.56,98.4,0.989,39,0.921,8.95,-0.94,0,resting
42,dog,small,1.33,11.28,152.0,38.82,96.6,1.08,21,0.335,19.42,-0.68,2,stressed
155,cat,n/a,2.55,8.84,175.3,38.62,96.9,1.063,24,0.911,2.45,-1.38,0,resting
236,cat,n/a,0.15,5.36,207.2,38.65,95.9,1.875,549,1.391,8.81,-1.35,1,active
313,cat,n/a,3.89,1.83,227.3,39.17,95.9,1.038,17,0.158,24.79,-0.83,2,stressed
387,dog,small,2.32,7.97,112.1,40.33,97.1,0.992,35,0.513,20.0,0.83,3,anomaly
144,cat,n/a,1.87,2.83,231.6,39.16,95.3,1.021,10,0.517,51.25,-0.84,2,stressed
306,cat,n/a,1.75,1.5,208.8,39.03,97.6,1.926,481,1.699,16.89,-0.97,1,active
55,cat,n/a,7.26,6.89,170.9,38.75,96.3,0.987,57,0.823,-1.77,-1.25,0,resting
393,dog,large,0.19,41.78,91.9,38.52,97.1,1.004,28,1.063,-1.14,-0.98,0,resting
117,dog,medium,0.73,14.85,104.1,38.62,98.3,1.032,31,0.792,-0.67,-0.88,0,resting
252,dog,small,6.66,5.88,151.8,38.84,99.0,1.052,0,0.149,35.55,-0.66,2,stressed
127,dog,toy,1.14,4.08,157.7,39.0,95.6,1.251,618,1.361,9.08,-0.5,1,active
337,cat,n/a,0.31,7.67,187.5,38.74,98.7,1.052,22,0.561,3.48,-1.26,0,resting
118,dog,large,3.29,36.55,156.5,38.57,97.5,0.989,0,0.174,139.32,-0.93,2,stressed
40,dog,small,4.42,8.16,133.2,39.02,98.2,1.732,420,1.361,3.43,-0.48,1,active
434,cat,n/a,6.59,7.73,166.3,38.85,95.8,1.076,39,1.22,2.69,-1.15,0,resting
421,dog,small,3.75,7.25,129.8,38.5,96.6,1.074,29,0.976,4.06,-1.0,0,resting
205,dog,giant,1.14,84.23,158.1,39.7,95.9,1.171,0,0.753,98.71,0.2,3,anomaly
27,cat,n/a,1.26,6.07,170.0,38.79,97.4,0.994,25,0.986,0.52,-1.21,0,resting
347,dog,toy,0.93,3.71,139.8,38.44,97.8,1.718,540,1.351,-15.63,-1.06,1,active
157,dog,large,0.74,25.01,137.0,38.99,98.4,1.754,763,1.991,33.61,-0.51,1,active
225,dog,toy,9.87,2.96,133.5,38.34,97.9,1.028,20,1.185,-7.87,-1.16,0,resting
8,dog,large,3.83,39.36,75.9,38.57,95.7,1.054,5,1.07,1.62,-0.93,0,resting
369,dog,small,4.46,5.94,149.0,38.58,97.1,1.558,847,1.483,46.59,-0.92,1,active
38,dog,medium,7.38,18.13,85.7,38.33,97.6,1.007,13,1.046,-6.6,-1.17,0,resting
339,dog,toy,0.69,1.62,151.0,38.94,99.6,1.65,430,2.031,-5.32,-0.56,1,active
380,cat,n/a,1.19,6.78,224.1,38.86,95.6,1.04,18,0.276,38.18,-1.14,2,stressed
288,dog,large,0.15,37.92,80.2,38.52,98.0,1.049,54,0.938,3.26,-0.98,0,resting
5,cat,n/a,3.39,3.2,206.6,39.21,100.0,1.587,611,1.067,30.71,-0.79,1,active
170,dog,small,1.08,8.91,147.8,38.7,96.1,1.272,522,1.886,23.08,-0.8,1,active
133,cat,n/a,5.04,5.92,226.2,39.25,97.1,1.021,34,0.381,44.13,-0.75,2,stressed
393,dog,large,0.19,41.78,83.2,38.47,95.2,1.061,20,1.069,-10.48,-1.03,0,resting
326,dog,medium,0.44,32.23,152.1,38.41,98.1,1.047,10,0.28,53.62,-1.09,2,stressed
36,dog,giant,0.3,58.45,120.1,38.8,96.1,1.163,565,1.297,82.48,-0.7,1,active
373,dog,small,5.5,13.63,78.9,38.34,95.8,1.036,27,0.856,-0.21,-1.16,0,resting
118,dog,large,3.29,36.55,150.3,39.08,95.7,1.078,0,0.243,129.85,-0.42,2,stressed
70,dog,small,3.14,3.39,155.8,39.01,97.9,1.039,10,0.508,28.48,-0.49,2,stressed
197,dog,toy,6.35,3.08,137.8,38.34,95.8,1.005,32,0.866,-5.59,-1.16,0,resting
124,cat,n/a,1.82,3.57,221.9,38.81,97.6,1.321,499,1.357,30.68,-1.19,1,active
29,dog,large,4.48,46.53,79.0,38.53,98.2,1.051,10,1.038,1.74,-0.97,0,resting
250,cat,n/a,3.12,2.92,181.1,38.58,96.6,1.026,29,1.06,-1.34,-1.42,0,resting
98,dog,large,4.65,42.2,94.8,38.43,95.7,1.849,691,1.221,46.84,-1.07,1,active
79,dog,small,4.73,11.9,108.6,38.77,97.8,1.04,34,0.704,2.35,-0.73,0,resting
362,cat,n/a,5.55,3.2,192.8,39.12,96.5,1.896,521,1.28,9.04,-0.88,1,active
495,dog,giant,11.63,55.77,142.6,38.56,98.4,1.028,22,0.112,165.91,-0.64,2,stressed
240,dog,giant,12.91,61.95,63.3,38.61,98.8,1.055,13,1.053,3.84,-0.59,0,resting
25,cat,n/a,7.86,3.41,215.8,39.01,97.6,1.971,593,2.005,16.82,-0.99,1,active
58,cat,n/a,0.99,9.19,190.0,38.58,95.0,1.05,31,1.191,2.32,-1.42,0,resting
266,dog,large,0.5,19.75,174.3,38.43,96.0,1.052,56,0.437,83.61,-1.07,3,anomaly
488,dog,large,1.36,33.15,150.9,38.82,94.7,1.094,9,0.316,139.17,-0.68,2,stressed
443,dog,small,10.97,8.37,105.9,38.29,96.0,1.002,30,0.957,4.35,-0.91,0,resting
143,cat,n/a,1.79,5.38,159.9,38.59,98.3,1.078,0,1.081,-2.59,-1.41,0,resting
317,cat,n/a,1.09,5.2,176.5,38.7,97.5,0.953,0,1.123,-2.2,-1.3,0,resting
364,dog,medium,4.17,23.22,110.9,38.62,95.4,1.699,435,1.596,23.62,-0.88,1,active
481,cat,n/a,0.32,8.24,204.1,38.91,97.4,1.031,25,0.772,2.65,-1.09,0,resting
297,dog,small,0.44,7.87,118.8,38.47,96.6,0.989,34,1.053,-0.56,-1.03,0,resting
25,cat,n/a,7.86,3.41,173.6,38.64,99.0,1.014,1,0.959,-6.0,-1.36,0,resting
101,cat,n/a,0.8,8.78,166.4,38.95,97.3,1.003,6,1.095,-3.28,-1.05,0,resting
464,dog,small,1.41,14.34,162.4,38.8,94.9,0.987,10,0.134,57.93,-0.7,2,stressed
366,dog,large,8.76,37.49,67.7,38.74,88.8,1.05,41,0.153,0.7,-0.76,3,anomaly
166,cat,n/a,5.03,6.54,192.1,38.86,97.8,0.977,12,1.263,0.19,-1.14,0,resting
394,cat,n/a,1.9,3.77,149.7,38.89,96.8,1.046,32,1.044,-4.3,-1.11,0,resting
441,cat,n/a,1.26,3.37,217.8,39.06,95.4,1.014,14,0.285,39.22,-0.94,2,stressed
115,dog,medium,5.59,14.95,116.9,38.75,96.3,1.236,539,1.48,17.29,-0.75,1,active
259,dog,medium,9.26,13.17,88.7,38.39,97.5,0.969,15,0.981,1.96,-1.11,0,resting
341,cat,n/a,1.18,5.92,166.9,38.9,97.9,0.958,52,0.809,-7.65,-1.1,0,resting
351,dog,medium,2.89,19.92,94.8,38.35,97.1,1.004,0,1.063,12.01,-1.15,0,resting
49,dog,small,0.74,7.41,155.6,38.08,100.0,1.034,52,0.723,2.45,-1.42,0,resting
